frame,has_target,valid,dim_x,dim_y,min,max,mean,median
frame0000.frame,0,1,960,600,14,255,103.00140104166667,108.0
2023.07.19 58-23-04_1/4_714.frame,1,1,960,600,50,255,127.41259722222222,126.0
2023.07.19 58-23-04_1/4_744.frame,1,1,960,600,41,243,128.178546875,127.0
2023.07.19 58-23-04_1/0_121.frame,1,1,960,600,59,255,151.4150815972222,152.0
2023.07.19 58-23-04_1/0_493.frame,1,1,960,600,62,220,146.33213541666666,148.0
2023.07.19 58-23-04_1/0_670.frame,1,1,960,600,73,252,150.00716145833334,151.0
2023.07.19 58-23-04_1/2_182.frame,1,1,960,600,45,255,139.21572395833334,136.0
2023.07.19 58-23-04_1/2_185.frame,0,1,960,600,45,230,143.57723090277779,141.0
2023.07.19 58-23-04_1/2_294.frame,1,1,960,600,69,250,145.19575520833334,143.0
2023.07.19 58-23-04_1/0_720.frame,1,1,960,600,70,235,153.6950173611111,155.0
2023.07.19 58-23-04_1/0_734.frame,1,1,960,600,62,255,153.213828125,154.0
2023.07.19 58-23-04_1/0_831.frame,1,1,960,600,74,226,152.88010069444445,155.0
2023.07.19 58-23-04_1/1_103.frame,1,1,960,600,43,255,149.4340625,149.0
2023.07.19 58-23-04_1/1_613.frame,1,1,960,600,68,232,148.28577083333334,148.0
2023.07.19 58-23-04_1/1_635.frame,1,1,960,600,69,230,149.31907465277777,149.0
2023.07.19 58-23-04_1/1_809.frame,1,1,960,600,68,255,151.0114704861111,151.0
2023.07.19 58-23-04_1/2_177.frame,1,1,960,600,29,255,126.30014583333333,135.0
2023.07.19 58-23-04_1/2_302.frame,1,1,960,600,42,255,144.10949131944443,142.0
2023.07.19 58-23-04_1/2_830.frame,1,1,960,600,59,255,148.86833854166667,147.0
2023.07.19 58-23-04_1/2_898.frame,1,1,960,600,53,255,145.71770486111112,143.0
2023.07.19 58-23-04_1/3_106.frame,1,1,960,600,36,255,133.21685590277778,131.0
2023.07.19 58-23-04_1/3_119.frame,1,1,960,600,67,255,132.97141493055557,131.0
2023.07.19 58-23-04_1/3_120.frame,1,1,960,600,59,255,133.7744982638889,132.0
2023.07.19 58-23-04_1/3_257.frame,1,1,960,600,48,255,133.14296006944446,131.0
2023.07.19 58-23-04_1/3_445.frame,1,1,960,600,62,255,137.01430555555555,134.0
2023.07.19 58-23-04_1/3_459.frame,1,1,960,600,56,255,137.64430555555555,135.0
2023.07.19 58-23-04_1/3_515.frame,1,1,960,600,55,255,134.70516666666666,132.0
2023.07.19 58-23-04_1/3_719.frame,1,1,960,600,39,255,137.0376909722222,135.0
2023.07.19 58-23-04_1/3_894.frame,1,1,960,600,41,255,133.04454513888888,131.0
2023.07.19 58-23-04_1/4_107.frame,1,1,960,600,48,255,128.23207986111112,125.0
2023.07.19 58-23-04_1/4_110.frame,1,1,960,600,25,255,125.78750520833333,123.0
2023.07.19 58-23-04_1/4_115.frame,1,1,960,600,47,255,126.77913194444444,124.0
2023.07.19 58-23-04_1/4_195.frame,1,1,960,600,45,241,123.537484375,123.0
2023.07.19 58-23-04_1/4_470.frame,1,1,960,600,47,247,125.71641666666666,125.0
2023.07.19 58-23-04_1/4_676.frame,1,1,960,600,51,231,128.221359375,127.0
2023.07.19 58-23-04_1/4_697.frame,1,1,960,600,51,210,127.18515451388889,126.0
2023.07.19 58-23-04_1/4_793.frame,1,1,960,600,50,225,126.53145659722222,125.0
2023.07.19 58-23-04_1/4_891.frame,1,1,960,600,40,255,129.10424305555554,128.0
2023.07.19 58-23-04_1/4_894.frame,1,1,960,600,29,219,123.89801215277778,123.0
2023.07.19 58-23-04_1/5_139.frame,1,1,960,600,48,255,141.96592361111112,141.0
2023.07.19 58-23-04_1/5_178.frame,1,1,960,600,39,251,139.87521701388889,139.0
