frame,x,y,label
0/1538/frame0006.frame,601,299,0
0/1538/frame0007.frame,445,300,0
0/1538/frame0007.frame,338,94,0
0/1538/frame0007.frame,863,271,0
0/1538/frame0009.frame,864,390,0
0/1538/frame0011.frame,628,97,0
0/1538/frame0012.frame,269,95,0
0/1538/frame0013.frame,863,273,0
0/1538/frame0015.frame,316,79,0
0/1538mov/0_421_1.frame,607,127,0
0/1538mov/0_421_1.frame,790,372,0
0/1538mov/0_422.frame,723,129,0
0/1538mov/2_426_3.frame,243,117,0
0/1538mov/2_426_3.frame,138,238,0
0/1538mov/2_426_3.frame,256,426,0
0/1538mov/2_427_2.frame,253,189,0
0/1538mov/2_427_3.frame,336,255,0
0/1538mov/2_427_3.frame,559,492,1
0/1538mov/2_545.frame,316,321,0
0/1538mov/2_545.frame,549,259,0
0/1538mov/2_545.frame,427,138,0
0/1538mov/3_425.frame,780,480,0
0/1538mov/3_425.frame,668,426,1
0/1538mov/3_426.frame,788,484,0
0/1538mov/3_426_.frame,841,368,0
0/1538mov/3_426_2.frame,370,174,0
0/1538mov/3_426_2.frame,573,92,0
0/1538mov/3_426_2.frame,626,150,0
0/1538mov/3_427.frame,255,318,0
0/1538mov/4_533.frame,490,152,0
0/d/4.frame,854,201,0
0/d/4.frame,298,86,0
0/d/4.frame,536,193,0
0/d/4.frame,657,292,0
0/d/4.frame,407,78,0
0/d/4.frame,878,83,0
0/d/4.frame,572,88,0
0/d/4.frame,123,94,0
0/d/4.frame,111,483,0
0/d/4.frame,285,498,0
0/miss/0_086.frame,757,457,0
0/miss/0_168.frame,480,171,0
0/miss/0_168.frame,500,452,0
0/miss/0_350.frame,455,131,0
0/miss/0_350.frame,768,505,0
0/miss/0_426.frame,341,366,0
0/miss/0_426.frame,264,133,0
0/miss/0_426.frame,761,457,0
0/miss/0_426.frame,793,263,0
0/miss/0_427.frame,638,230,0
0/miss/0_427.frame,350,387,0
0/miss/0_427.frame,307,202,0
0/miss/0_470.frame,357,374,0
0/miss/0_470.frame,465,144,0
0/miss/0_470.frame,620,86,0
0/miss/0_470.frame,741,425,0
0/miss/0_470.frame,468,504,0
0/miss/0_489.frame,560,363,0
0/miss/0_489.frame,265,366,0
0/miss/0_547.frame,539,302,0
0/miss/0_656.frame,206,445,0
0/miss/0_662.frame,451,119,0
0/miss/0_662.frame,117,317,0
0/miss/0_662.frame,750,401,0
0/miss/0_750.frame,716,235,0
0/miss/0_750.frame,795,164,0
0/miss/0_750.frame,759,461,0
0/miss/0_751.frame,718,416,0
0/miss/0_774.frame,717,406,0
0/miss/0_774.frame,431,337,0
0/miss/0_798.frame,521,470,0
0/miss/0_798.frame,211,273,0
0/miss/0_798.frame,846,461,0
0/miss/0_798.frame,562,259,0
0/miss/0_798.frame,173,473,0
0/miss/0_802.frame,301,497,0
0/miss/0_885.frame,247,84,0
0/miss/0_885.frame,311,358,0
0/miss/0_885.frame,366,323,0
0/miss/0_885.frame,534,509,0
0/miss/1_559.frame,564,205,0
0/miss/1_559.frame,319,427,0
0/miss/1_605.frame,212,455,0
0/miss/1_605.frame,796,190,0
0/miss/1_605.frame,830,474,0
0/miss/1_790.frame,856,265,0
0/miss/2_296.frame,432,475,0
0/miss/2_296.frame,239,459,0
0/miss/2_680.frame,519,252,0
0/miss/2_680.frame,464,476,0
0/n1/frame0005.frame,131,505,0
0/n1/frame0005.frame,237,395,0
0/n1/frame0005.frame,277,242,0
0/nn/0.frame,354,446,0
0/nn/1.frame,689,111,0
0/nn/2.frame,440,94,0
0/nn/2.frame,517,322,0
0/nn/5.frame,390,406,0
0/nn/5.frame,311,87,0
0/nn/frame0001.frame,379,496,0
0/nn/frame0002.frame,343,445,0
0/nn/frame0003.frame,381,289,0
0/nn/frame0003.frame,197,279,0
0/nn/frame0004.frame,329,237,0
0/nn/frame0004.frame,405,492,0
0/nn/frame0004.frame,671,510,0
0/nn/frame0007.frame,306,95,0
0/nn/frame0007.frame,508,102,0
0/nn/frame0009.frame,708,492,0
0/nn/frame0009.frame,352,415,0
0/nn/frame0009.frame,630,284,0
0/nn/frame0010.frame,717,453,0
0/nn/frame0010.frame,501,419,0
0/nn/frame0010.frame,317,434,0
0/nn/n1.frame,362,169,0
0/nn/n1.frame,595,374,0
0/nn/n13.frame,689,114,0
0/nn/n13.frame,771,147,0
0/nn/n13.frame,532,100,0
0/nn/n13.frame,621,87,0
0/nn/n14.frame,759,178,0
0/nn/n14.frame,667,102,0
0/nn/n15.frame,656,150,0
0/nn/n15.frame,130,115,0
0/nn/n15.frame,692,369,0
0/nn/n2.frame,738,401,0
0/nn/n2.frame,522,185,0
0/грязь/0_116.frame,329,374,0
0/грязь/0_195.frame,434,135,0
0/грязь/0_195.frame,792,394,0
0/грязь/1_115.frame,307,472,0
0/грязь/1_115.frame,846,470,0
0/грязь/1_115_.frame,531,438,0
0/грязь/1_115_.frame,609,383,0
0/грязь/1_115_.frame,779,380,0
0/грязь/1_116.frame,216,305,0
0/грязь/1_117.frame,212,220,0
0/грязь/1_117.frame,232,438,0
0/лапа/1_739.frame,318,78,0
0/лапа/1_739.frame,587,75,0
0/лапа/1_739.frame,286,98,0
0/лапа/1_739.frame,257,197,0
0/лапа/4_875.frame,230,410,0
0/лапа/4_875.frame,568,483,0
0/лапа/4_875.frame,806,421,0
0/лапа/4_875.frame,223,159,0
0/лапа/4_875.frame,826,147,0
0/мелочь/0_109.frame,592,483,0
0/мелочь/0_109.frame,565,509,0
0/мелочь/0_109.frame,549,462,0
0/мелочь/0_109.frame,605,453,0
0/мелочь/0_109.frame,615,508,0
0/мелочь/0_339.frame,608,426,0
0/мелочь/0_339.frame,636,398,0
0/мелочь/0_339.frame,581,454,0
0/мелочь/0_339.frame,574,399,0
0/мелочь/0_339.frame,633,454,0
0/мелочь/0_529.frame,693,187,0
0/мелочь/0_529.frame,712,167,0
0/мелочь/0_529.frame,665,210,0
0/мелочь/0_529.frame,670,166,0
0/мелочь/1_086.frame,347,438,0
0/мелочь/1_086.frame,331,412,0
0/мелочь/1_086.frame,379,464,0
0/мелочь/1_086.frame,328,486,0
0/мелочь/1_215.frame,849,379,0
0/мелочь/1_215.frame,834,352,0
0/мелочь/1_215.frame,871,412,0
0/мелочь/1_215.frame,866,365,0
0/мелочь/1_215.frame,819,397,0
0/мелочь/1_275.frame,287,457,0
0/мелочь/1_275.frame,235,443,0
0/мелочь/1_275.frame,275,432,0
0/мелочь/1_275.frame,256,483,0
0/мелочь/1_275.frame,286,478,0
0/мелочь/2_179.frame,478,494,0
0/мелочь/2_569.frame,553,516,0
0/мелочь/2_569.frame,370,519,0
0/мелочь/3_203.frame,510,442,0
0/мелочь/3_203.frame,447,473,0
0/мелочь/3_203.frame,541,472,0
0/мелочь/3_203.frame,477,405,0
0/мелочь/3_203.frame,404,483,0
0/мелочь/3_213.frame,392,398,0
0/мелочь/3_213.frame,466,436,0
0/мелочь/3_213.frame,380,329,0
0/мелочь/3_218.frame,161,442,0
0/мелочь/3_218.frame,355,141,0
0/мелочь/3_218.frame,320,435,0
0/мелочь/3_228.frame,389,360,0
0/мелочь/3_228.frame,330,444,0
0/мелочь/3_228.frame,308,377,0
0/мелочь/3_228.frame,410,401,0
0/мелочь/3_228.frame,367,319,0
0/мелочь/3_240.frame,516,522,0
0/мелочь/3_240.frame,782,376,0
0/мелочь/3_340.frame,636,270,0
0/мелочь/3_340.frame,364,426,0
0/мелочь/3_340.frame,372,485,0
0/мелочь/3_402.frame,286,507,0
0/мелочь/3_402.frame,261,485,0
0/мелочь/3_402.frame,313,481,0
0/мелочь/3_402.frame,611,483,0
0/мелочь/3_450.frame,343,480,0
0/мелочь/3_515.frame,238,463,0
0/мелочь/3_531.frame,681,445,0
0/мелочь/3_531.frame,633,468,0
0/мелочь/3_531.frame,719,480,0
0/мелочь/3_531.frame,620,401,0
0/мелочь/3_531.frame,708,411,0
0/мелочь/3_531.frame,134,195,0
0/мелочь/3_531.frame,123,417,0
0/мелочь/3_552.frame,320,402,0
0/мелочь/3_552.frame,342,511,0
0/мелочь/3_552.frame,663,491,0
0/мелочь/3_586.frame,315,522,0
0/мелочь/3_586.frame,279,513,0
0/мелочь/3_671.frame,377,416,0
0/мелочь/3_671.frame,349,388,0
0/мелочь/3_671.frame,361,440,0
0/мелочь/3_707.frame,416,451,0
0/мелочь/3_707.frame,402,475,0
0/мелочь/3_730.frame,441,524,0
0/мелочь/3_730.frame,147,149,0
0/мелочь/3_730.frame,271,144,0
0/мелочь/3_730.frame,454,512,0
0/мелочь/3_730.frame,552,484,0
0/мелочь/4_103.frame,329,214,0
0/мелочь/4_103.frame,397,215,0
0/мелочь/4_501.frame,331,334,0
0/мелочь/4_501.frame,393,326,0
0/мелочь/4_501.frame,447,505,0
0/мелочь/5_144.frame,275,460,0
0/мелочь/5_144.frame,776,248,0
0/мелочь/5_216.frame,679,220,0
0/мелочь/5_216.frame,672,430,0
2020.10.15/труба 5/2_120.frame,155,94,0
2020.10.15/труба 5/2_120.frame,332,212,0
2020.10.15/труба 5/2_120.frame,450,271,0
2020.10.15/труба 5/2_120.frame,509,271,0
2020.10.15/труба 8/0_417.frame,201,200,9
2020.10.15/труба 8/0_417.frame,686,212,0
2020.10.15/труба 8/0_417.frame,804,271,0
2020.10.15/труба 8/5_417.frame,840,218,9
2020.10.16/Труба 1/3_108.frame,627,94,0
2020.10.16/Труба 1/3_108.frame,686,389,0
2020.10.16/Труба 1/3_111.frame,663,482,0
2020.10.16/Труба 1/3_111.frame,731,495,0
2020.10.16/Труба 1/3_111.frame,509,212,0
2020.10.16/Труба 1/3_111.frame,568,271,0
2020.10.16/Труба 1/3_112.frame,568,94,0
2020.10.16/Труба 1/3_112.frame,568,507,0
2020.10.16/Труба 3/4_110.frame,627,153,0
